Variable 1,Variable 2,Pearson r,p-value,Significant
Female_Age (years),Semen_Collection_Method_fresh,-0.163,0.0095,Yes
Semen_Collection_Method_fresh,Male_Infertility_secondary,-0.179,0.0043,Yes
Male_Age (years),Blastulation_Rate (%),-0.195,0.0018,Yes
Semen_Collection_Method_thawed,Blastulation_Rate (%),-0.204,0.0011,Yes
Sperm_Prog_Motility (%),Semen_Collection_Method_thawed,-0.214,0.0006,Yes
Semen_Volume (ml),Donor Semen_yes,-0.254,0.0,Yes
Follicles_Collected (#),Female_Age (years),-0.278,0.0,Yes
Female_Age (years),Blastulation_Rate (%),-0.287,0.0,Yes
Semen_Volume (ml),Semen_Collection_Method_thawed,-0.294,0.0,Yes
Semen_Collection_Method_fresh,Semen_Collection_Method_thawed,-0.929,0.0,Yes
